fs_id,path,class_label,ship_type,polarization,label,is_cargo,google_path
fs_0001,data/classification/fs/fs_0001.tiff,Cargo/AggregatesCarrier,,,cargo,1,/content/drive/MyDrive/classification/fs/fs_0001.tiff
fs_0002,data/classification/fs/fs_0002.tiff,Cargo/AggregatesCarrier,,,cargo,1,/content/drive/MyDrive/classification/fs/fs_0002.tiff
fs_0003,data/classification/fs/fs_0003.tiff,Cargo/BulkCarrier,,,cargo,1,/content/drive/MyDrive/classification/fs/fs_0003.tiff
fs_0004,data/classification/fs/fs_0004.tiff,Cargo/BulkCarrier,,,cargo,1,/content/drive/MyDrive/classification/fs/fs_0004.tiff
fs_0005,data/classification/fs/fs_0005.tiff,Cargo/BulkCarrier,,,cargo,1,/content/drive/MyDrive/classification/fs/fs_0005.tiff
fs_0006,data/classification/fs/fs_0006.tiff,Cargo/BulkCarrier,,,cargo,1,/content/drive/MyDrive/classification/fs/fs_0006.tiff
fs_0007,data/classification/fs/fs_0007.tiff,Cargo/BulkCarrier,,,cargo,1,/content/drive/MyDrive/classification/fs/fs_0007.tiff
fs_0008,data/classification/fs/fs_0008.tiff,Cargo/BulkCarrier,,,cargo,1,/content/drive/MyDrive/classification/fs/fs_0008.tiff
fs_0009,data/classification/fs/fs_0009.tiff,Cargo/BulkCarrier,,,cargo,1,/content/drive/MyDrive/classification/fs/fs_0009.tiff
fs_0010,data/classification/fs/fs_0010.tiff,Cargo/BulkCarrier,,,cargo,1,/content/drive/MyDrive/classification/fs/fs_0010.tiff
fs_0011,data/classification/fs/fs_0011.tiff,Cargo/BulkCarrier,,,cargo,1,/content/drive/MyDrive/classification/fs/fs_0011.tiff
fs_0012,data/classification/fs/fs_0012.tiff,Cargo/BulkCarrier,,,cargo,1,/content/drive/MyDrive/classification/fs/fs_0012.tiff
fs_0013,data/classification/fs/fs_0013.tiff,Cargo/BulkCarrier,,,cargo,1,/content/drive/MyDrive/classification/fs/fs_0013.tiff
fs_0014,data/classification/fs/fs_0014.tiff,Cargo/BulkCarrier,,,cargo,1,/content/drive/MyDrive/classification/fs/fs_0014.tiff
