os2_id,path,class_label,ship_type,polarization,label,is_cargo,google_path
os2_00001,data/classification/os2/os2_00001.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os2/os2_00001.tif
os2_00002,data/classification/os2/os2_00002.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os2/os2_00002.tif
os2_00003,data/classification/os2/os2_00003.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os2/os2_00003.tif
os2_00004,data/classification/os2/os2_00004.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os2/os2_00004.tif
os2_00005,data/classification/os2/os2_00005.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os2/os2_00005.tif
os2_00006,data/classification/os2/os2_00006.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os2/os2_00006.tif
os2_00007,data/classification/os2/os2_00007.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os2/os2_00007.tif
os2_00008,data/classification/os2/os2_00008.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os2/os2_00008.tif
os2_00009,data/classification/os2/os2_00009.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os2/os2_00009.tif
os2_00010,data/classification/os2/os2_00010.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os2/os2_00010.tif
os2_00011,data/classification/os2/os2_00011.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os2/os2_00011.tif
os2_00012,data/classification/os2/os2_00012.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os2/os2_00012.tif
os2_00013,data/classification/os2/os2_00013.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os2/os2_00013.tif
os2_00014,data/classification/os2/os2_00014.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os2/os2_00014.tif
os2_00015,data/classification/os2/os2_00015.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os2/os2_00015.tif
os2_00016,data/classification/os2/os2_00016.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os2/os2_00016.tif
os2_00017,data/classification/os2/os2_00017.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os2/os2_00017.tif
os2_00018,data/classification/os2/os2_00018.tif,Cargo,70,vv,cargo,1,/content/drive/MyDrive/classification/os2/os2_00018.tif
os2_00019,data/classification/os2/os2_00019.tif,Cargo,70,vh,cargo,1,/content/drive/MyDrive/classification/os2/os2_00019.tif
